UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 09:37 ?        00:00:01 /usr/lib/systemd/systemd --switched-root --system --deserialize=32
root           2       0  0 09:37 ?        00:00:00 [kthreadd]
root           3       2  0 09:37 ?        00:00:00 [rcu_gp]
root           4       2  0 09:37 ?        00:00:00 [rcu_par_gp]
root           5       2  0 09:37 ?        00:00:00 [slub_flushwq]
root           6       2  0 09:37 ?        00:00:00 [netns]
root           8       2  0 09:37 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 09:37 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 09:37 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 09:37 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 09:37 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 09:37 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 09:37 ?        00:00:00 [rcu_preempt]
root          16       2  0 09:37 ?        00:00:00 [migration/0]
root          18       2  0 09:37 ?        00:00:00 [cpuhp/0]
root          20       2  0 09:37 ?        00:00:00 [kdevtmpfs]
root          21       2  0 09:37 ?        00:00:00 [inet_frag_wq]
root          22       2  0 09:37 ?        00:00:00 [kauditd]
root          23       2  0 09:37 ?        00:00:00 [khungtaskd]
root          24       2  0 09:37 ?        00:00:00 [oom_reaper]
root          27       2  0 09:37 ?        00:00:00 [writeback]
root          28       2  0 09:37 ?        00:00:00 [kcompactd0]
root          29       2  0 09:37 ?        00:00:00 [khugepaged]
root          30       2  0 09:37 ?        00:00:00 [kintegrityd]
root          31       2  0 09:37 ?        00:00:00 [kblockd]
root          32       2  0 09:37 ?        00:00:00 [blkcg_punt_bio]
root          33       2  0 09:37 ?        00:00:00 [xen-balloon]
root          34       2  0 09:37 ?        00:00:00 [tpm_dev_wq]
root          35       2  0 09:37 ?        00:00:00 [md]
root          36       2  0 09:37 ?        00:00:00 [edac-poller]
root          37       2  0 09:37 ?        00:00:00 [watchdogd]
root          38       2  0 09:37 ?        00:00:00 [kworker/0:1H-kblockd]
root          45       2  0 09:37 ?        00:00:00 [kswapd0]
root          76       2  0 09:37 ?        00:00:00 [xfsalloc]
root          77       2  0 09:37 ?        00:00:00 [xfs_mru_cache]
root          80       2  0 09:37 ?        00:00:00 [kthrotld]
root          95       2  0 09:37 ?        00:00:00 [xenbus]
root          96       2  0 09:37 ?        00:00:00 [xenwatch]
root         134       2  0 09:37 ?        00:00:00 [nvme-wq]
root         136       2  0 09:37 ?        00:00:00 [nvme-reset-wq]
root         138       2  0 09:37 ?        00:00:00 [nvme-delete-wq]
root         161       2  0 09:37 ?        00:00:00 [mld]
root         162       2  0 09:37 ?        00:00:00 [ipv6_addrconf]
root         172       2  0 09:37 ?        00:00:00 [kstrp]
root         181       2  0 09:37 ?        00:00:00 [zswap-shrink]
root         182       2  0 09:37 ?        00:00:00 [kworker/u31:0]
root         978       2  0 09:37 ?        00:00:00 [xfs-buf/xvda1]
root         979       2  0 09:37 ?        00:00:00 [xfs-conv/xvda1]
root         980       2  0 09:37 ?        00:00:00 [xfs-reclaim/xvd]
root         981       2  0 09:37 ?        00:00:00 [xfs-blockgc/xvd]
root         982       2  0 09:37 ?        00:00:00 [xfs-inodegc/xvd]
root         983       2  0 09:37 ?        00:00:00 [xfs-log/xvda1]
root         984       2  0 09:37 ?        00:00:00 [xfs-cil/xvda1]
root         985       2  0 09:37 ?        00:00:03 [xfsaild/xvda1]
root        1039       1  0 09:37 ?        00:00:01 /usr/lib/systemd/systemd-journald
root        1689       1  0 09:37 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root        1764       2  0 09:37 ?        00:00:00 [cryptd]
root        1804       2  0 09:37 ?        00:00:00 [ata_sff]
root        1819       2  0 09:37 ?        00:00:00 [scsi_eh_0]
root        1825       2  0 09:37 ?        00:00:00 [scsi_tmf_0]
root        1831       2  0 09:37 ?        00:00:00 [scsi_eh_1]
root        1833       2  0 09:37 ?        00:00:00 [scsi_tmf_1]
systemd+    1896       1  0 09:37 ?        00:00:00 /usr/lib/systemd/systemd-resolved
root        1905       2  0 09:37 ?        00:00:00 [rpciod]
root        1906       2  0 09:37 ?        00:00:00 [xprtiod]
root        1908       1  0 09:37 ?        00:00:00 /sbin/auditd
root        1926       1  0 09:37 ?        00:00:00 /usr/bin/systemd-inhibit --what=handle-suspend-key:handle-hibernate-key --who=noah --why=acpid instead --mode=block /usr/sbin/acpid -f
libstor+    1928       1  0 09:37 ?        00:00:00 /usr/bin/lsmd -d
root        1930       1  0 09:37 ?        00:00:12 /usr/sbin/rngd -f -x pkcs11 -x nist
root        1932       1  0 09:37 ?        00:00:00 /usr/lib/systemd/systemd-homed
root        1933       1  0 09:37 ?        00:00:00 /usr/lib/systemd/systemd-logind
dbus        1934       1  0 09:37 ?        00:00:00 /usr/bin/dbus-broker-launch --scope system --audit
systemd+    1935       1  0 09:37 ?        00:00:00 /usr/lib/systemd/systemd-networkd
dbus        1941    1934  0 09:37 ?        00:00:00 dbus-broker --log 4 --controller 9 --machine-id ec2de3780f4cadbdae8020ecfdc25bb4 --max-bytes 536870912 --max-fds 4096 --max-matches 16384 --audit
